title,author,summary,themes,mood_tags,pacing,tone,setting
Pride and Prejudice,Jane Austen,"Elizabeth Bennet, a witty and independent young woman, navigates the complex social hierarchies of Regency England. When she meets the proud and aloof Mr. Darcy, their initial mutual disdain slowly transforms into a deep understanding and love. Through misunderstandings, family scandals, and societal pressure, both characters must overcome their own prejudices and pride to find happiness. It is a sharp, humorous, and timeless exploration of class, marriage, and personal growth.","love, society, class, pride, prejudice, growth","witty, romantic, uplifting, charming, satirical, clever",moderate,"playful, insightful",Regency England
1984,George Orwell,"Winston Smith lives in a dystopian future where the totalitarian Party, led by the omnipresent Big Brother, controls every aspect of life, including thought and history. Working at the Ministry of Truth, Winston begins to secretly rebel against the regime, falling in love with Julia and seeking the truth about the past. However, in a world where surveillance is absolute and dissent is crushed through psychological torture, his quest for freedom leads to a devastating and haunting conclusion about the nature of power and the human spirit.","freedom, control, truth, propaganda, surveillance, despair","dark, oppressive, tense, chilling, bleak, thought-provoking",moderate,"grim, dystopian, terrifying",Oceania
The Great Gatsby,F. Scott Fitzgerald,"Nick Carraway moves to New York and becomes neighbors with the mysterious millionaire Jay Gatsby, who throws lavish parties every weekend in hopes of attracting his lost love, Daisy Buchanan. As Nick gets drawn into Gatsby's world of wealth and illusion, he witnesses the tragic consequences of obsession and the hollowness of the American Dream. Set against the backdrop of the Roaring Twenties, this is a lyrical and melancholic tale of love, loss, and the impossibility of recapturing the past.","wealth, love, illusion, dreams, decay, nostalgia","melancholic, longing, critical, lush, tragic, atmospheric",moderate,"nostalgic, poetic, cynical",1920s New York
To Kill a Mockingbird,Harper Lee,"Young Scout Finch grows up in the racist South during the Great Depression, watching her father, Atticus, defend a black man falsely accused of raping a white woman. Through the trial and the mysteries of their reclusive neighbor Boo Radley, Scout learns profound lessons about justice, empathy, and the coexistence of good and evil. It is a heartwarming yet serious story about moral courage and the loss of innocence in a flawed world.","justice, racism, innocence, morality, empathy, childhood","thought-provoking, serious, hopeful, heartfelt, moral, moving",slow,"earnest, compassionate, classic",1930s Alabama
The Hobbit,J.R.R. Tolkien,"Bilbo Baggins, a comfort-loving hobbit, is swept out of his quiet home by the wizard Gandalf and a company of dwarves on a quest to reclaim their mountain kingdom from the dragon Smaug. Along the way, Bilbo discovers courage he never knew he had, finds a mysterious ring, and faces trolls, goblins, and giant spiders. It is a whimsical, adventurous, and cozy fairy tale that bridges the gap between a child's story and an epic myth.","adventure, courage, home, greed, friendship, destiny","cozy, adventurous, whimsical, exciting, warm, heroic",fast,"warm, epic, playful",Middle Earth
Dune,Frank Herbert,"Paul Atreides, a brilliant young nobleman, is thrust into the dangerous desert planet Arrakis, the only source of the universe's most valuable substance: spice. As his family is destroyed by political intrigue, Paul must survive the harsh environment, ally with the native Fremen, and embrace a terrifying destiny that could change the course of humanity. This is an epic, complex saga of religion, ecology, politics, and survival on a grand scale.","power, religion, survival, ecology, politics, destiny","epic, intense, complex, philosophical, grand, immersive",slow,"serious, majestic, intricate",Arrakis Desert
The Alchemist,Paulo Coelho,"Santiago, a young Andalusian shepherd, dreams of finding a worldly treasure buried near the Egyptian pyramids. Guided by a series of omens and encounters with a king, an alchemist, and the wind itself, he journeys across Africa. Along the way, he learns that the true treasure is the journey itself and the realization of one's 'Personal Legend.' It is a simple, spiritual, and inspiring fable about listening to your heart and following your dreams.","purpose, destiny, journey, spirituality, dreams, simplicity","inspiring, spiritual, calm, hopeful, reflective, magical",moderate,"philosophical, gentle, uplifting","Spain, Egypt, Sahara"
Gone Girl,Gillian Flynn,"On their fifth wedding anniversary, Nick Dunne's wife Amy disappears, and all evidence points to him as the murderer. As the media circus intensifies, Nick struggles to prove his innocence while hiding dark secrets about their marriage. But the truth is far more twisted than anyone imagines, involving a elaborate game of manipulation and revenge. This is a shocking, tense, and cynical thriller that dissects the facade of a perfect marriage.","marriage, secrets, media, manipulation, revenge, identity","tense, shocking, dark, suspenseful, cynical, twisty",fast,"suspenseful, disturbing, clever",Modern Missouri
Little Fires Everywhere,Celeste Ng,"In the perfectly planned suburb of Shaker Heights, the orderly life of the Richardson family is upended by the arrival of Mia Warren, an enigmatic artist and her daughter. As secrets from the past unravel and a custody battle divides the community, the differences between the two mothers ignite a series of 'little fires' that expose the hypocrisies of suburban life. It is a dramatic and emotional exploration of motherhood, class, and the weight of secrets.","family, secrets, perfection, motherhood, class, identity","tense, dramatic, emotional, intriguing, critical, layered",moderate,"provocative, heartfelt, suspenseful",Suburban Ohio
The Midnight Library,Matt Haig,"Nora Seed, filled with regret and suicidal thoughts, finds herself in a library between life and death. Each book on the shelves offers a chance to live a different version of her life based on the choices she didn't make. From being a rock star to an Olympic swimmer, Nora explores infinite possibilities to find what makes life worth living. It is a comforting, philosophical, and deeply hopeful story about regret, choice, and the beauty of the imperfect life we actually have.","regret, choices, life, depression, hope, second chances","hopeful, reflective, comforting, philosophical, uplifting, emotional",moderate,"heartwarming, introspective, inspiring",Multiverse Library
Project Hail Mary,Andy Weir,"Ryland Grace wakes up alone on a spaceship with amnesia. As his memory returns, he realizes he is humanity's last hope on a desperate mission to save Earth from a cosmic disaster. Stranded light-years from home with two dead crewmates, he must use his scientific knowledge to survive. The story becomes a brilliant and heartwarming tale of problem-solving, friendship with an unexpected alien companion, and the power of collaboration against impossible odds. It's funny, tense, and deeply optimistic.","friendship, sacrifice, science, exploration, survival, cooperation","suspenseful, funny, hopeful, heartwarming, thrilling, optimistic, clever, nerdy",fast,"humorous, energetic, uplifting",Space
Where the Crawdads Sing,Delia Owens,"Kya Clark, known as the 'Marsh Girl,' grows up isolated in the dangerous marshes of North Carolina after being abandoned by her family. She learns to survive alone in nature until she befriends two young men, but when one is found dead, she becomes the prime suspect. This is a lyrical, atmospheric mystery that blends a coming-of-age story with a murder trial, celebrating the resilience of the human spirit and the healing power of nature.","nature, isolation, survival, prejudice, love, mystery","melancholic, mysterious, atmospheric, lyrical, lonely, poignant",slow,"evocative, emotional, immersive",North Carolina Marsh
Atomic Habits,James Clear,"This practical guide reveals how tiny changes in behavior can lead to remarkable results over time. James Clear breaks down the science of habit formation, offering proven strategies to build good habits, break bad ones, and master the tiny behaviors that lead to success. It is not just about motivation, but about designing a system for continuous improvement. Empowering and actionable, it transforms the way you think about progress and human potential.","self-improvement, habits, success, psychology, systems, growth","practical, motivating, clear, empowering, logical, actionable",moderate,"instructional, encouraging, transformative",Non-Fiction
Sapiens,Yuval Noah Harari,"Yuval Noah Harari takes readers on a breathtaking journey through the entire history of humankind, from the Stone Age to the present. He explores how Homo sapiens came to dominate the planet through cognitive, agricultural, and scientific revolutions. By examining the role of fiction, money, empires, and religion, Harari challenges our understanding of what it means to be human. It is a thought-provoking, educational, and broad overview that changes how you see the world.","history, humanity, evolution, society, culture, future","thought-provoking, educational, broad, analytical, enlightening, objective",moderate,"intellectual, fascinating, comprehensive",Global History
The Body Keeps the Score,Bessel van der Kolk,"Pioneering trauma researcher Bessel van der Kolk explores how trauma reshapes both the body and the brain, compromising sufferers' capacities for pleasure, engagement, self-control, and trust. He examines innovative treatments ranging from medication and talk therapy to yoga and EMDR, offering a path to recovery. This is a heavy but ultimately healing and compassionate book that validates the experiences of survivors and offers hope for restoration.","trauma, healing, psychology, neuroscience, recovery, resilience","heavy, informative, healing, compassionate, serious, validating",slow,"clinical, empathetic, profound",Clinical/Research
Educated,Tara Westover,"Born to survivalist parents in the mountains of Idaho, Tara Westover never attended school or saw a doctor until she was seventeen. Driven by a thirst for knowledge, she teaches herself enough to gain admission to college, eventually earning a PhD from Cambridge. Her journey is a harrowing and inspiring memoir about the struggle for self-invention, the pain of leaving a family behind, and the transformative power of education.","education, family, resilience, identity, abuse, triumph","inspiring, intense, emotional, raw, determined, powerful",moderate,"heartbreaking, triumphant, honest","Idaho, Cambridge"
Becoming,Michelle Obama,"In this intimate and powerful memoir, former First Lady Michelle Obama invites readers into her world, chronicling the experiences that have shaped her—from her childhood on the South Side of Chicago to her time in the White House. She speaks candidly about her struggles, her role as a mother, and her efforts to create a more inclusive America. It is a warm, personal, and authentic story of growth, public service, and finding one's voice.","identity, public service, growth, family, leadership, authenticity","inspiring, warm, personal, authentic, hopeful, engaging",moderate,"sincere, uplifting, relatable","Chicago, Washington DC"
The Silent Patient,Alex Michaelides,"Alicia Berenson, a famous painter, shoots her husband five times in the face and then never speaks another word. Theo Faber, a criminal psychotherapist, becomes obsessed with uncovering the motive behind her silence and getting her to talk again. As he digs deeper into her past, he uncovers a shocking truth that twists the narrative in an unforgettable way. This is a tense, mysterious, and psychologically gripping thriller about obsession and the lengths we go to for love.","obsession, truth, silence, psychology, art, shock","tense, mysterious, shocking, suspenseful, dark, addictive",fast,"psychological, twisty, gripping",London
Circe,Madeline Miller,"Banished to a deserted island by the gods, the witch Circe discovers her power and finds her voice. Over centuries, she encounters famous figures from mythology, including Hermes, Daedalus, and Odysseus. This is a stunning reimagining of the Greek myths from the perspective of a marginalized woman, exploring themes of power, isolation, and the definition of monstrosity. It is lyrical, magical, and deeply empowering.","power, isolation, mythology, feminism, magic, transformation","empowering, lyrical, magical, introspective, mythic, beautiful",moderate,"poetic, fierce, enchanting",Greek Islands
The Song of Achilles,Madeline Miller,"Told from the perspective of Patroclus, this novel retells the Iliad as a sweeping romance between the exiled prince and the greatest warrior of his age, Achilles. As they grow from boys to men, their bond deepens amidst the backdrop of the Trojan War. It is a tragic, romantic, and emotionally devastating story about love, fate, and the cost of glory, rendered in exquisite, poetic prose.","love, war, fate, destiny, grief, heroism","tragic, romantic, emotional, poetic, heartbreaking, tender",moderate,"lyrical, sorrowful, beautiful",Ancient Greece
Normal People,Sally Rooney,"Connell and Marianne weave in and out of each other's lives over several years, from high school in a small Irish town to university in Dublin. Misunderstandings, class differences, and personal insecurities keep them apart even as they remain deeply connected. This is a quiet, intimate, and realistic portrayal of young love, communication, and the subtle ways people shape one another.","love, class, communication, intimacy, growth, misunderstanding","melancholic, intimate, realistic, quiet, emotional, raw",moderate,"subtle, observant, poignant",Ireland
Lessons in Chemistry,Bonnie Garmus,"Set in the 1960s, Elizabeth Zott is a brilliant chemist whose career is derailed by sexism. Unexpectedly becoming the host of a TV cooking show, she uses the platform to teach women not just recipes, but science and self-worth, challenging the status quo. With the help of her dog Six-Thirty and her daughter, she empowers a generation of women to demand more. It is witty, defiant, and deeply uplifting.","feminism, science, resilience, empowerment, single-motherhood, justice","uplifting, witty, empowering, humorous, defiant, heartwarming",moderate,"charming, inspiring, fun",1960s California
