client_id,client_name,client_type,industry,country,city,contact_person,phone_number,email,registration_date,credit_limit_usd,payment_terms_days,total_shipments,total_revenue_usd,outstanding_balance_usd,client_status,preferred_product_types
CLT-001,Construction Supplies Kenya,E-commerce,Telecommunications,Kenya,Nairobi,Mohammed Kimani,+254751361533,contact@techhub.co.ke,2021-06-25,50000,30,299,565409,56540,Active,Beverages|Electronics
CLT-002,Industrial Suppliers Tanzania,E-commerce,Electronics,Tanzania,Mwanza,Marie Okello,+255747451057,contact@techhub.co.tz,2020-12-24,50000,45,319,483604,0,Active,Construction|FMCG
CLT-003,AutoParts Plus Uganda,Government,Agriculture,Uganda,Entebbe,Christine Nsubuga,+256720937370,contact@techhub.co.ug,2020-01-25,30000,15,290,432390,21619,Active,Agricultural
CLT-004,Construction Supplies Uganda,E-commerce,Electronics,Uganda,Entebbe,Hanna Mukamana,+256737616749,contact@techhub.co.ug,2022-09-20,100000,30,93,230175,0,Active,Beverages|Textiles
CLT-005,Telecom Solutions Kenya,Healthcare,Electronics,Kenya,Nakuru,Eric Girma,+254701129926,contact@techhub.co.ke,2021-12-12,30000,30,564,1084008,0,Active,Pharmaceuticals|Beverages|FMCG
CLT-006,Global Supply Kenya,NGO,Textiles,Kenya,Mombasa,Jean Kato,+254728257191,contact@techhub.co.ke,2021-01-10,100000,45,241,661786,0,Active,Beverages|Construction
CLT-007,FoodDistributors Tanzania,E-commerce,Pharmaceuticals,Tanzania,Dodoma,Hassan Korir,+255799125431,contact@techhub.co.tz,2021-07-12,50000,60,284,258156,12907,Active,Telecommunications
CLT-008,BuildMart Kenya,NGO,Construction,Kenya,Nairobi,Ibrahim Omari,+254763960038,contact@techhub.co.ke,2021-10-20,30000,60,548,946944,0,Active,Electronics|Automotive|FMCG
CLT-009,Beverage Distributors Kenya,E-commerce,Textiles,Kenya,Eldoret,Getachew Alemu,+254772267959,contact@techhub.co.ke,2021-01-07,50000,45,402,233562,0,Active,Industrial|Agricultural
CLT-010,Agricultural Traders Uganda,Retail,Automotive,Uganda,Jinja,Moses Tadesse,+256782182875,contact@techhub.co.ug,2021-09-25,150000,60,343,822857,0,Active,Pharmaceuticals
CLT-011,Global Supply Kenya,Wholesale,Construction,Kenya,Eldoret,Innocent Mukasa,+254755564671,contact@techhub.co.ke,2019-11-28,50000,30,374,633182,31659,Active,Automotive|Textiles|Beverages
CLT-012,Construction Supplies Kenya,Government,FMCG,Kenya,Eldoret,Peter Kamau,+254753286118,contact@techhub.co.ke,2020-04-25,150000,15,265,313495,0,Active,FMCG
CLT-013,Telecom Solutions Uganda,Healthcare,Textiles,Uganda,Entebbe,John Otieno,+256789060057,contact@techhub.co.ug,2019-06-22,75000,45,284,429692,21484,Active,Pharmaceuticals|Industrial
CLT-014,Global Supply Tanzania,Manufacturing,Telecommunications,Tanzania,Dodoma,Beatrice Ali,+255712019737,contact@techhub.co.tz,2023-11-19,100000,45,188,509104,0,Active,Beverages|Automotive|Textiles
CLT-015,Construction Supplies Kenya,Retail,Pharmaceuticals,Kenya,Kisumu,James Desta,+254757772049,contact@techhub.co.ke,2020-09-13,75000,30,402,672948,0,Active,Beverages
CLT-016,AgriExport Tanzania,E-commerce,Automotive,Tanzania,Dar es Salaam,Joshua Tadesse,+255732153442,contact@techhub.co.tz,2020-01-22,150000,45,454,691442,0,Active,Automotive|Industrial|Agricultural
CLT-017,Fashion Retail Uganda,Healthcare,Agriculture,Uganda,Gulu,Ahmed Girma,+256783584597,contact@techhub.co.ug,2023-07-15,100000,30,120,149640,0,Active,Beverages
CLT-018,HealthCare Solutions Kenya,Wholesale,FMCG,Kenya,Mombasa,James Habimana,+254729150491,contact@techhub.co.ke,2021-12-31,75000,60,338,541476,0,Active,Electronics|Agricultural
CLT-019,AgriExport Rwanda,Government,Electronics,Rwanda,Ruhengeri,Sarah Niyonzima,+250763102032,contact@techhub.co.rw,2021-01-30,50000,30,388,321264,16063,Active,Electronics
CLT-020,Electronics Hub Kenya,Retail,Agriculture,Kenya,Nairobi,Innocent Bekele,+254727977300,contact@techhub.co.ke,2021-02-20,100000,60,444,1027416,0,Active,Agricultural
CLT-021,Supermart Kenya,Government,Electronics,Kenya,Mombasa,Faith Bakari,+254784947603,contact@techhub.co.ke,2020-10-23,100000,45,583,583000,0,Active,Textiles|Agricultural|Construction
CLT-022,HealthCare Solutions Rwanda,Healthcare,Agriculture,Rwanda,Butare,Amina Habimana,+250712267708,contact@techhub.co.rw,2022-04-12,150000,45,59,39648,0,Active,Beverages|Pharmaceuticals|Construction
CLT-023,PharmaCare Ethiopia,Retail,Construction,Ethiopia,Mekele,Agnes Alemu,+251746616197,contact@techhub.co.et,2022-07-04,100000,30,207,558072,27903,Active,Beverages
