id,question,gold_answer,source_doc,source_keywords,difficulty,question_type,assertions
1,"What is the minimum value of the Length field in a UDP datagram, and why?","The minimum value of the Length field is eight (8), because the length includes the UDP header (8 octets: source port, destination port, length, checksum) even when there is no data.",RFC 768,"Length, minimum, eight, header, octets",easy,factual,"answer contains ""8"" or ""eight""; answer mentions header is included"
2,"What is the purpose of the pseudo header in the UDP checksum calculation?","The pseudo header conceptually prefixed to the UDP header contains the source address, destination address, protocol, and UDP length. It provides protection against misrouted datagrams. This checksum procedure is the same as is used in TCP.",RFC 768,"pseudo header, source address, destination address, protocol, misrouted, checksum",medium,conceptual,"answer mentions ""misrouted""; answer lists source address, destination address, protocol, UDP length"
3,"What is the protocol number for UDP?","UDP is protocol 17 (21 octal) when used in the Internet Protocol.",RFC 768,"protocol, 17, 21 octal",easy,factual,"answer contains ""17"""
4,"How does TCP ensure reliable data transfer?","TCP assigns a sequence number to each octet transmitted and requires a positive acknowledgment (ACK) from the receiving TCP. If the ACK is not received within a timeout interval, the data is retransmitted. At the receiver, sequence numbers are used to correctly order segments received out of order and to eliminate duplicates. Damage is handled by adding a checksum to each segment; if the checksum fails at the receiver, the segment is discarded.",RFC 793,"sequence number, acknowledgment, ACK, retransmitted, timeout, checksum, duplicates, order",medium,conceptual,"answer mentions sequence numbers; answer mentions ACK/acknowledgment; answer mentions retransmission/timeout; answer mentions checksum"
5,"What are the steps of the TCP three-way handshake for connection establishment?","1) Host A sends a SYN segment with its initial sequence number (e.g., SEQ=X). 2) Host B responds with a SYN-ACK: it acknowledges A's SYN (ACK=X+1) and sends its own SYN with its initial sequence number (e.g., SEQ=Y). 3) Host A sends an ACK acknowledging B's SYN (ACK=Y+1). At this point the connection is established. Steps 2 and 3 can be combined because the ACK and SYN can be sent in a single message.",RFC 793,"SYN, ACK, sequence number, three-way, handshake, ISN, established",medium,procedural,"answer mentions SYN; answer mentions ACK; answer mentions 3 steps or messages; answer mentions sequence numbers"
6,"Why does TCP use a clock-based initial sequence number (ISN) generator, and what problem does it solve?","TCP uses a clock-based ISN generator to prevent segments from one incarnation of a connection from being confused with segments from a previous incarnation. If a TCP crashes and restarts, or if a connection is quickly closed and reopened, old duplicate segments from the previous incarnation might still be in the network. By using a monotonically increasing ISN tied to a clock (incremented roughly every 4 microseconds, cycling every ~4.55 hours), the protocol ensures that new ISNs are sufficiently different from recently used ones. The Maximum Segment Lifetime (MSL) is assumed to be less than the ISN cycle time.",RFC 793,"initial sequence number, ISN, clock, incarnation, duplicate, MSL, crash, 4 microseconds, 4.55 hours",hard,conceptual,"answer mentions ""incarnation""; answer mentions clock-based; answer mentions MSL or maximum segment lifetime"
7,"What is the purpose of the TCP PUSH function?","The PUSH function causes the sending TCP to promptly forward and deliver data up to that point to the receiving application, rather than waiting to fill a buffer. When the receiving TCP sees the PUSH flag, it must not wait for more data before passing the data to the receiving process. The push function does not provide a record boundary marker.",RFC 793,"PUSH, push function, promptly, forward, deliver, buffer, record boundary",medium,conceptual,"answer mentions ""promptly"" or ""immediately""; answer mentions buffer; answer mentions it does NOT provide record boundary"
8,"What are the three classes of Internet addresses defined in RFC 791, and how are they distinguished?","Class A: high order bit is 0, next 7 bits are the network, last 24 bits are the local address. Class B: high order two bits are 1-0, next 14 bits are the network, last 16 bits are the local address. Class C: high order three bits are 1-1-0, next 21 bits are the network, last 8 bits are the local address.",RFC 791,"class A, class B, class C, network, host, bits",easy,factual,"answer mentions all 3 classes; answer gives bit patterns (0, 10, 110)"
9,"How does the IP fragmentation mechanism work, and what fields are used for reassembly?","When a datagram is larger than the next network's MTU, a gateway fragments it. The Identification field uniquely identifies fragments of the same datagram. The Fragment Offset field tells the receiver the position of a fragment in the original datagram (measured in 8-octet units). The More Fragments (MF) flag indicates whether more fragments follow (set to 1) or this is the last fragment (set to 0). The receiver reassembles fragments that share the same Identification, source, destination, and protocol fields, placing data at positions indicated by fragment offsets.",RFC 791,"fragmentation, identification, fragment offset, more fragments, MF, reassembly, 8 octet",medium,conceptual,"answer mentions Identification; answer mentions Fragment Offset; answer mentions MF/More Fragments; answer mentions 8-octet units"
10,"What is the purpose of the Time to Live (TTL) field in the IP header?","The TTL field indicates the maximum time a datagram is allowed to remain in the internet system. It is set by the sender and decremented by at least one at each point where the header is processed. If it reaches zero, the datagram is destroyed. The intention is to cause undeliverable datagrams to be discarded and to bound the maximum datagram lifetime. The maximum value is 255 seconds (~4.25 minutes).",RFC 791,"Time to Live, TTL, decrement, destroyed, zero, lifetime",easy,factual,"answer mentions ""decrement""; answer mentions datagram is destroyed/discarded at zero"
11,"What is the purpose of ICMP, and what types of messages does it define?","ICMP (Internet Control Message Protocol) is used by gateways and hosts to report errors in datagram processing and to make routing suggestions. It is an integral part of IP. ICMP defines the following message types: Echo Reply (0), Destination Unreachable (3), Source Quench (4), Redirect (5), Echo (8), Time Exceeded (11), Parameter Problem (12), Timestamp (13), Timestamp Reply (14), Information Request (15), and Information Reply (16). No ICMP messages are sent about ICMP messages to avoid infinite regress.",RFC 792,"ICMP, control message, error, Echo, Destination Unreachable, Redirect, Source Quench, Time Exceeded",medium,conceptual,"answer mentions ""integral part of IP""; answer lists at least 5 message types; answer mentions no ICMP about ICMP"
12,"What does an ICMP Redirect message do, and when is it sent?","A Redirect message is sent by a gateway to inform a host of a better first-hop router for a specific destination. When gateway G1 receives a datagram from a host and determines that the next gateway G2 is on the same network as the host, G1 sends a redirect advising the host to send traffic for that destination directly to G2. The gateway still forwards the original datagram. Codes distinguish between redirect for network, host, type of service + network, and type of service + host.",RFC 792,"Redirect, gateway, better, first-hop, host, network",easy,factual,"answer mentions ""better"" route or ""shorter"" path; answer mentions gateway sends it to host; answer mentions gateway still forwards the datagram"
13,"Describe the ARP request and reply process.","When host X needs to send a packet to host Y on the same Ethernet but doesn't know Y's hardware address, X broadcasts an ARP REQUEST packet containing: hardware type, protocol type, sender's hardware address, sender's protocol address, and target's protocol address (Y's IP). All stations on the cable receive this broadcast. Host Y recognizes its protocol address, updates its cache with X's mapping, then sends a unicast ARP REPLY back to X containing Y's hardware address. X then caches this mapping and can send the original packet. Both sides learn the mapping from a single exchange.",RFC 826,"ARP, request, reply, broadcast, hardware address, protocol address, sender, target, cache",medium,procedural,"answer mentions broadcast request; answer mentions unicast reply; answer mentions both sides cache the mapping"
14,"Why does ARP merge sender information into the cache before looking at the opcode?","ARP merges the sender's <protocol type, protocol address, hardware address> triplet into the translation table before examining the opcode. This is based on the assumption that communication is bidirectional: if A has reason to talk to B, then B will probably have reason to talk to A. This way, both parties learn each other's mappings from a single exchange, even before determining if the packet is a request or reply.",RFC 826,"merge, bidirectional, cache, opcode, translation table",easy,conceptual,"answer mentions ""bidirectional""; answer mentions merging happens before opcode check"
15,"What is the difference between an OSPF router-LSA and a network-LSA?","A router-LSA (Type 1) is originated by every router and describes the state of the router's interfaces to an area, including link types, link IDs, link data, and metrics. It is flooded throughout a single area only. A network-LSA (Type 2) is originated by the Designated Router for each transit broadcast or NBMA network. It lists all routers fully adjacent to the Designated Router and is also flooded throughout a single area. The Link State ID for a network-LSA is the IP interface address of the Designated Router.",RFC 2328,"router-LSA, network-LSA, Type 1, Type 2, Designated Router, flooded, area",medium,conceptual,"answer mentions Type 1 for router-LSA; answer mentions Type 2 for network-LSA; answer mentions Designated Router originates network-LSA"
16,"How does OSPF's Designated Router election work, and why is a Backup Designated Router needed?","The Designated Router (DR) is elected by the Hello Protocol. Routers with the highest Router Priority are preferred; ties are broken by the highest Router ID. The election uses hysteresis: if a DR already exists, new routers accept it regardless of priority, ensuring DR changes happen infrequently. The Backup Designated Router (BDR) is also elected and becomes adjacent to all routers on the network. When the DR fails, the BDR immediately takes over without needing to form new adjacencies or synchronize databases, minimizing disruption. Without a BDR, a new DR would need to form adjacencies with all routers, causing a potentially long period of database synchronization during which the network is unavailable for transit traffic.",RFC 2328,"Designated Router, Backup, election, Router Priority, Router ID, hysteresis, adjacency, synchronization",hard,conceptual,"answer mentions Router Priority; answer mentions hysteresis or ""accept existing DR""; answer mentions BDR minimizes disruption; answer mentions adjacency synchronization"
17,"What is ""counting to infinity"" in RIP, and what mechanisms are used to prevent it?","""Counting to infinity"" occurs when a network becomes unreachable and routers slowly increment the metric for that network toward infinity (16) before declaring it unreachable. This happens because routers may learn routes from each other in a loop, each advertising increasing metrics. RIP uses two mechanisms to prevent this: (1) Split horizon with poisoned reverse — a router advertises routes back to the neighbor from which it learned them with a metric of 16 (infinity), immediately breaking two-router loops. (2) Triggered updates — when a router changes a metric, it immediately sends an update rather than waiting for the regular 30-second timer, speeding up convergence and limiting the spread of bad information.",RFC 2453,"counting to infinity, split horizon, poisoned reverse, triggered updates, infinity, 16, metric",medium,conceptual,"answer mentions ""split horizon""; answer mentions ""poisoned reverse""; answer mentions ""triggered updates""; answer mentions infinity is 16"
