maintenance_id,asset_id,maintenance_date,maintenance_type,service_provider,location,odometer_reading,description,parts_replaced,labor_hours,parts_cost_usd,labor_cost_usd,total_cost_usd,next_service_km,performed_by,downtime_hours
MNT-0001,AST-001,2024-05-14,Repair,Auto Services Uganda,Jinja,9152,"Repair - Brake pads, Suspension parts",Brake pads|Suspension parts,5,329.64,230.18,559.82,23610,Rebecca Chebet,7
MNT-0002,AST-001,2024-08-22,Routine Service,Auto Services Uganda,Jinja,21487,"Routine Service - Fuel filter, Oil",Fuel filter|Oil|Spark plugs,3,148.16,130.34,278.51,32732,Mary Mukamana,7
MNT-0003,AST-001,2024-04-25,Repair,Auto Services Uganda,Jinja,34935,"Repair - Alternator, Brake pads",Alternator|Brake pads|Battery,9,242.0,286.27,528.27,48181,Moses Uwase,11
MNT-0004,AST-001,2024-02-14,Routine Service,Auto Services Uganda,Jinja,4432,"Routine Service - Oil, Spark plugs",Oil|Spark plugs,5,128.74,227.37,356.1,15930,Rose Juma,7
MNT-0005,AST-001,2024-01-22,Routine Service,Auto Services Uganda,Jinja,28219,"Routine Service - Oil, Fuel filter",Oil|Fuel filter|Engine oil filter|Air filter,4,84.16,137.75,221.92,40929,Samuel Musoke,8
MNT-0006,AST-001,2024-03-01,Emergency Repair,Auto Services Uganda,Jinja,38119,Emergency Repair - Fuel pump,Fuel pump,8,559.23,398.95,958.18,52855,Hanna Khamis,11
MNT-0007,AST-001,2024-02-29,Repair,Auto Services Uganda,Jinja,32794,"Repair - Suspension parts, Battery",Suspension parts|Battery,7,477.17,334.32,811.5,43595,Fatuma Alemu,11
MNT-0008,AST-001,2024-10-12,Routine Service,Auto Services Uganda,Jinja,12713,"Routine Service - Air filter, Spark plugs",Air filter|Spark plugs|Oil,5,164.73,189.36,354.09,24248,David Okello,6
MNT-0009,AST-002,2024-10-23,Repair,Auto Services Uganda,Gulu,39464,"Repair - Alternator, Radiator",Alternator|Radiator,7,574.63,302.7,877.33,50553,Yohannes Hassan,11
MNT-0010,AST-002,2024-06-05,Routine Service,Auto Services Uganda,Gulu,48177,"Routine Service - Fuel filter, Air filter",Fuel filter|Air filter|Engine oil filter,4,140.11,123.12,263.23,59785,Daniel Njoroge,5
MNT-0011,AST-002,2024-05-17,Repair,Auto Services Uganda,Gulu,53097,"Repair - Alternator, Battery",Alternator|Battery,9,393.77,447.02,840.79,64322,Meseret Wanjiru,10
MNT-0012,AST-002,2024-11-14,Routine Service,Auto Services Uganda,Gulu,51225,"Routine Service - Engine oil filter, Air filter",Engine oil filter|Air filter|Spark plugs,3,175.3,100.77,276.07,65082,Marie Nsengimana,6
MNT-0013,AST-002,2024-04-18,Emergency Repair,Auto Services Uganda,Gulu,29819,Emergency Repair - Fuel pump,Fuel pump,5,543.41,169.79,713.19,44615,Beatrice Niyonzima,7
MNT-0014,AST-002,2024-06-28,Repair,Auto Services Uganda,Gulu,50166,"Repair - Suspension parts, Radiator",Suspension parts|Radiator|Battery,9,270.72,284.72,555.44,61596,James Nsengimana,11
MNT-0015,AST-003,2024-06-14,Routine Service,Auto Services Kenya,Nairobi,139239,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs|Fuel filter,5,141.67,236.34,378.01,151150,Elizabeth Abebe,9
MNT-0016,AST-003,2024-06-19,Repair,Auto Services Kenya,Nairobi,149726,"Repair - Brake pads, Alternator",Brake pads|Alternator|Radiator,5,486.43,196.46,682.89,161797,Hanna Ssemakula,8
MNT-0017,AST-003,2024-05-20,Emergency Repair,Auto Services Kenya,Nairobi,157184,Emergency Repair - Water pump,Water pump,7,743.56,246.83,990.39,170408,Halima Nalongo,9
MNT-0018,AST-004,2025-01-20,Routine Service,Auto Services Tanzania,Dodoma,102806,"Routine Service - Spark plugs, Engine oil filter",Spark plugs|Engine oil filter|Fuel filter,5,145.68,154.73,300.41,116711,Hanna Abebe,9
MNT-0019,AST-004,2024-07-15,Routine Service,Auto Services Tanzania,Dodoma,101500,"Routine Service - Fuel filter, Engine oil filter",Fuel filter|Engine oil filter,4,105.5,177.95,283.45,115233,Samuel Girma,6
MNT-0020,AST-004,2024-01-05,Repair,Auto Services Tanzania,Dodoma,80295,"Repair - Brake pads, Alternator",Brake pads|Alternator,6,587.51,254.69,842.2,90338,Ibrahim Omari,10
MNT-0021,AST-005,2024-02-21,Routine Service,Auto Services Kenya,Mombasa,37765,"Routine Service - Fuel filter, Air filter",Fuel filter|Air filter|Oil|Spark plugs,4,158.09,191.46,349.55,48547,Samuel Okello,6
MNT-0022,AST-005,2024-11-19,Repair,Auto Services Kenya,Mombasa,41170,Repair - Alternator,Alternator,4,512.0,150.72,662.72,55117,Getachew Alemu,5
MNT-0023,AST-005,2025-01-31,Routine Service,Auto Services Kenya,Mombasa,20334,"Routine Service - Spark plugs, Oil",Spark plugs|Oil,2,190.98,91.98,282.96,34037,Sarah Kimani,4
MNT-0024,AST-005,2024-12-13,Routine Service,Auto Services Kenya,Mombasa,29060,"Routine Service - Engine oil filter, Oil",Engine oil filter|Oil,5,184.08,156.75,340.84,43802,Mohammed Korir,7
MNT-0025,AST-005,2024-06-19,Routine Service,Auto Services Kenya,Mombasa,30743,"Routine Service - Air filter, Spark plugs",Air filter|Spark plugs,4,114.38,196.59,310.97,42796,Eric Omari,6
MNT-0026,AST-005,2025-02-12,Routine Service,Auto Services Kenya,Mombasa,26439,"Routine Service - Fuel filter, Oil",Fuel filter|Oil|Air filter|Spark plugs,4,81.36,157.17,238.53,36798,Rose Khamis,6
MNT-0027,AST-006,2024-01-03,Routine Service,Auto Services Rwanda,Kigali,31215,"Routine Service - Oil, Spark plugs",Oil|Spark plugs|Engine oil filter,2,117.38,60.42,177.8,45968,Mohammed Ali,6
MNT-0028,AST-006,2024-04-08,Routine Service,Auto Services Rwanda,Kigali,18079,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs,5,157.13,165.44,322.58,29327,Sarah Wanjiru,7
MNT-0029,AST-006,2024-04-27,Routine Service,Auto Services Rwanda,Kigali,31725,"Routine Service - Air filter, Oil",Air filter|Oil|Spark plugs,2,113.44,64.1,177.55,45788,Francis Juma,3
MNT-0030,AST-006,2024-11-19,Routine Service,Auto Services Rwanda,Kigali,-6387,"Routine Service - Air filter, Spark plugs",Air filter|Spark plugs|Oil|Fuel filter,3,124.25,135.4,259.65,6834,Grace Bizimana,4
