expense_id,trip_id,asset_id,expense_date,expense_category,expense_type,description,amount_usd,country,city,payment_method,vendor_name,receipt_number,reimbursement_status,approved_by
EXP-00001,TRP-0001,AST-076,2025-02-05,Fuel,Operational,Diesel fuel for Eldoret-Kisumu trip,149.17,Kenya,Eldoret,Company Card,Kobil Kenya,RCT-59611,Approved,Finance Manager
EXP-00002,TRP-0001,AST-076,2025-02-05,Tolls,Operational,Highway toll charges,17.78,Kenya,Eldoret,Cash,Highway Authority,TOLL-5382,Approved,Finance Manager
EXP-00003,TRP-0002,AST-113,2025-02-24,Fuel,Operational,Diesel fuel for Ruhengeri-Dodoma trip,122.35,Rwanda,Ruhengeri,Company Card,Puma Energy Rwanda,RCT-41628,Approved,Operations Manager
EXP-00004,TRP-0002,AST-113,2025-02-24,Border Fees,Operational,Rwanda-Tanzania border crossing fees,43.71,Tanzania,Border Crossing,Cash,Tanzania Revenue Authority,BRD-8571,Approved,Operations Manager
EXP-00005,TRP-0003,AST-089,2024-07-18,Fuel,Operational,Diesel fuel for Eldoret-Arusha trip,110.14,Kenya,Eldoret,Cash,Kobil Kenya,RCT-20128,Approved,Finance Manager
EXP-00006,TRP-0003,AST-089,2024-07-18,Border Fees,Operational,Kenya-Tanzania border crossing fees,70.6,Tanzania,Border Crossing,Cash,Tanzania Revenue Authority,BRD-5402,Approved,Operations Manager
EXP-00007,TRP-0004,AST-077,2024-10-26,Fuel,Operational,Diesel fuel for Mwanza-Mbarara trip,122.8,Tanzania,Mwanza,Company Card,Puma Energy Tanzania,RCT-78486,Approved,Finance Manager
EXP-00008,TRP-0004,AST-077,2024-10-26,Border Fees,Operational,Tanzania-Uganda border crossing fees,57.63,Uganda,Border Crossing,Cash,Uganda Revenue Authority,BRD-8757,Approved,Operations Manager
EXP-00009,TRP-0005,AST-053,2024-02-17,Fuel,Operational,Diesel fuel for Dire Dawa-Nairobi trip,145.97,Ethiopia,Dire Dawa,Cash,Kobil Ethiopia,RCT-51199,Approved,Finance Manager
EXP-00010,TRP-0005,AST-053,2024-02-17,Border Fees,Operational,Ethiopia-Kenya border crossing fees,57.98,Kenya,Border Crossing,Cash,Kenya Revenue Authority,BRD-6806,Approved,Operations Manager
EXP-00011,TRP-0006,AST-040,2025-01-29,Fuel,Operational,Diesel fuel for Nairobi-Nairobi trip,18.33,Kenya,Nairobi,Cash,Shell Kenya,RCT-28873,Approved,Operations Manager
EXP-00012,TRP-0007,AST-078,2024-02-24,Fuel,Operational,Diesel fuel for Kampala-Kampala trip,31.91,Uganda,Kampala,Cash,Total Uganda,RCT-59769,Approved,Operations Manager
EXP-00013,TRP-0008,AST-012,2024-09-08,Fuel,Operational,Diesel fuel for Dar es Salaam-Dar es Salaam trip,20.31,Tanzania,Dar es Salaam,Cash,Shell Tanzania,RCT-69998,Approved,Finance Manager
EXP-00014,TRP-0009,AST-116,2025-01-24,Fuel,Operational,Diesel fuel for Entebbe-Gulu trip,124.66,Uganda,Entebbe,Company Card,Kobil Uganda,RCT-84691,Approved,Finance Manager
EXP-00015,TRP-0009,AST-116,2025-01-24,Tolls,Operational,Highway toll charges,5.09,Uganda,Entebbe,Cash,Highway Authority,TOLL-9830,Approved,Finance Manager
EXP-00016,TRP-0010,AST-057,2024-02-02,Fuel,Operational,Diesel fuel for Gulu-Gulu trip,23.02,Uganda,Gulu,Company Card,Total Uganda,RCT-12290,Approved,Finance Manager
EXP-00017,TRP-0011,AST-035,2024-02-06,Fuel,Operational,Diesel fuel for Gulu-Gulu trip,15.93,Uganda,Gulu,Cash,Shell Uganda,RCT-50984,Approved,Finance Manager
EXP-00018,TRP-0011,AST-035,2024-02-06,Tolls,Operational,Highway toll charges,24.78,Uganda,Gulu,Cash,Highway Authority,TOLL-6456,Approved,Finance Manager
EXP-00019,TRP-0012,AST-089,2024-11-11,Fuel,Operational,Diesel fuel for Mombasa-Nakuru trip,136.03,Kenya,Mombasa,Company Card,Kobil Kenya,RCT-28030,Approved,Finance Manager
EXP-00020,TRP-0012,AST-089,2024-11-11,Tolls,Operational,Highway toll charges,22.79,Kenya,Mombasa,Cash,Highway Authority,TOLL-5343,Approved,Finance Manager
EXP-00021,TRP-0013,AST-017,2024-05-04,Fuel,Operational,Diesel fuel for Nairobi-Dire Dawa trip,147.53,Kenya,Nairobi,Cash,Kobil Kenya,RCT-23489,Approved,Operations Manager
EXP-00022,TRP-0013,AST-017,2024-05-04,Border Fees,Operational,Kenya-Ethiopia border crossing fees,49.08,Ethiopia,Border Crossing,Cash,Ethiopia Revenue Authority,BRD-5387,Approved,Operations Manager
EXP-00023,TRP-0014,AST-085,2024-12-20,Fuel,Operational,Diesel fuel for Dodoma-Dar es Salaam trip,90.45,Tanzania,Dodoma,Company Card,Puma Energy Tanzania,RCT-13849,Approved,Operations Manager
EXP-00024,TRP-0014,AST-085,2024-12-20,Tolls,Operational,Highway toll charges,9.31,Tanzania,Dodoma,Cash,Highway Authority,TOLL-2926,Approved,Finance Manager
EXP-00025,TRP-0015,AST-027,2024-01-28,Fuel,Operational,Diesel fuel for Mombasa-Nakuru trip,158.86,Kenya,Mombasa,Cash,Puma Energy Kenya,RCT-26976,Approved,Finance Manager
EXP-00026,TRP-0016,AST-113,2024-03-31,Fuel,Operational,Diesel fuel for Ruhengeri-Kigali trip,131.7,Rwanda,Ruhengeri,Company Card,Puma Energy Rwanda,RCT-43699,Approved,Operations Manager
EXP-00027,TRP-0017,AST-080,2024-09-05,Fuel,Operational,Diesel fuel for Butare-Cyangugu trip,95.34,Rwanda,Butare,Company Card,Kobil Rwanda,RCT-19411,Approved,Operations Manager
EXP-00028,TRP-0017,AST-080,2024-09-05,Tolls,Operational,Highway toll charges,19.63,Rwanda,Butare,Cash,Highway Authority,TOLL-7401,Approved,Finance Manager
EXP-00029,TRP-0018,AST-017,2024-03-28,Fuel,Operational,Diesel fuel for Kisumu-Eldoret trip,95.11,Kenya,Kisumu,Company Card,Shell Kenya,RCT-18963,Approved,Operations Manager
