origin_country,origin_city,destination_country,destination_city,price_usd,currency
Nigeria,Lagos,Kenya,Nairobi,420,USD
Nigeria,Lagos,South Africa,Johannesburg,580,USD
Nigeria,Lagos,Egypt,Cairo,520,USD
Nigeria,Lagos,Ghana,Accra,320,USD
Nigeria,Lagos,Senegal,Dakar,450,USD
Kenya,Nairobi,South Africa,Johannesburg,380,USD
Kenya,Nairobi,Egypt,Cairo,410,USD
Kenya,Nairobi,Nigeria,Lagos,435,USD
Kenya,Nairobi,Ethiopia,Addis Ababa,280,USD
Kenya,Nairobi,Tanzania,Dar es Salaam,195,USD
South Africa,Johannesburg,Nigeria,Lagos,595,USD
South Africa,Johannesburg,Kenya,Nairobi,375,USD
South Africa,Johannesburg,Egypt,Cairo,550,USD
South Africa,Johannesburg,Morocco,Casablanca,620,USD
South Africa,Johannesburg,Zimbabwe,Harare,220,USD
Egypt,Cairo,Nigeria,Lagos,505,USD
Egypt,Cairo,Kenya,Nairobi,395,USD
Egypt,Cairo,South Africa,Johannesburg,545,USD
Egypt,Cairo,Morocco,Casablanca,340,USD
Egypt,Cairo,Ethiopia,Addis Ababa,320,USD
Ghana,Accra,Nigeria,Lagos,310,USD
Ghana,Accra,Kenya,Nairobi,480,USD
Ghana,Accra,South Africa,Johannesburg,590,USD
Ghana,Accra,Senegal,Dakar,380,USD
Ghana,Accra,United Kingdom,London,720,USD
Senegal,Dakar,Nigeria,Lagos,440,USD
Senegal,Dakar,Morocco,Casablanca,290,USD
Senegal,Dakar,France,Paris,450,USD
Senegal,Dakar,Ghana,Accra,365,USD
Senegal,Dakar,Côte d'Ivoire,Abidjan,255,USD
Morocco,Casablanca,Egypt,Cairo,335,USD
Morocco,Casablanca,South Africa,Johannesburg,615,USD
Morocco,Casablanca,Senegal,Dakar,285,USD
Morocco,Casablanca,Tunisia,Tunis,180,USD
Morocco,Casablanca,Nigeria,Lagos,530,USD
Ethiopia,Addis Ababa,Kenya,Nairobi,265,USD
Ethiopia,Addis Ababa,Nigeria,Lagos,455,USD
Ethiopia,Addis Ababa,South Africa,Johannesburg,420,USD
Ethiopia,Addis Ababa,Egypt,Cairo,305,USD
Ethiopia,Addis Ababa,Tanzania,Dar es Salaam,320,USD
