trip_id,asset_id,driver_id,trip_date,origin_country,origin_city,destination_country,destination_city,product_type,product_description,quantity_kg,quantity_units,client_name,client_type,planned_departure,actual_departure,planned_arrival,actual_arrival,distance_km,fuel_consumed_liters,trip_status,revenue_usd,trip_cost_usd,delay_hours,delay_reason
TRP-0001,AST-076,DRV-041,2025-02-05,Kenya,Eldoret,Kenya,Kisumu,Electronics,Smartphones and tablets,815,359,Agricultural Traders Uganda,Manufacturing,2025-02-05 05:30:58,2025-02-05 06:05:58,2025-02-05 16:37:34,2025-02-05 16:59:17,578,104.8,Completed,285.25,318.61,0,None
TRP-0002,AST-113,DRV-076,2025-02-24,Rwanda,Ruhengeri,Tanzania,Dodoma,Pharmaceuticals,Prescription medications,1471,161,Industrial Suppliers Uganda,Manufacturing,2025-02-24 04:15:44,2025-02-24 04:29:44,2025-02-24 15:29:19,2025-02-24 15:56:13,637,99.8,Completed,1765.2,404.92,0,None
TRP-0003,AST-089,DRV-007,2024-07-18,Kenya,Eldoret,Tanzania,Arusha,Beverages,Juice products,3917,1135,Electronics Hub Uganda,Government,2024-07-18 04:30:45,2024-07-18 05:09:45,2024-07-18 13:24:57,2024-07-18 13:11:18,484,89.5,Completed,705.06,298.92,0,None
TRP-0004,AST-077,DRV-018,2024-10-26,Tanzania,Mwanza,Uganda,Mbarara,Construction,Steel and metal products,4830,71,Industrial Suppliers Tanzania,E-commerce,2024-10-26 04:45:29,2024-10-26 04:36:29,2024-10-26 13:07:57,2024-10-26 12:51:07,539,99.4,Completed,579.6,289.24,0,None
TRP-0005,AST-053,DRV-080,2024-02-17,Ethiopia,Dire Dawa,Kenya,Nairobi,FMCG,Personal care products,8156,428,Electronics Hub Tanzania,Retail,2024-02-17 05:30:15,2024-02-17 05:33:15,2024-02-17 16:37:19,2024-02-17 19:28:02,627,115.8,Completed,2039.0,455.18,2.8,Loading delay at origin
TRP-0006,AST-040,DRV-070,2025-01-29,Kenya,Nairobi,Kenya,Nairobi,Automotive,Car electronics,581,578,Fashion Retail Kenya,E-commerce,2025-01-29 07:00:29,2025-01-29 07:16:29,2025-01-29 09:30:51,2025-01-29 10:43:52,72,12.4,Completed,162.68,46.91,1.2,Loading delay at origin
TRP-0007,AST-078,DRV-132,2024-02-24,Uganda,Kampala,Uganda,Kampala,Industrial,Raw materials,2932,1069,Retail Solutions Tanzania,NGO,2024-02-24 04:00:38,2024-02-24 04:27:38,2024-02-24 06:41:18,2024-02-24 07:05:35,133,22.7,Completed,293.2,95.64,0,None
TRP-0008,AST-012,DRV-065,2024-09-08,Tanzania,Dar es Salaam,Tanzania,Dar es Salaam,Automotive,Car electronics,1161,1146,Export Corp Ethiopia,Government,2024-09-08 06:45:30,2024-09-08 06:33:30,2024-09-08 10:03:59,2024-09-08 09:55:55,92,14.6,Completed,325.08,62.15,0,None
TRP-0009,AST-116,DRV-122,2025-01-24,Uganda,Entebbe,Uganda,Gulu,Agricultural,Fresh produce,6340,268,Telecom Solutions Uganda,NGO,2025-01-24 07:00:25,2025-01-24 07:41:25,2025-01-24 15:58:58,2025-01-24 17:01:21,567,93.3,Completed,951.0,354.08,1.0,Traffic congestion
TRP-0010,AST-057,DRV-031,2024-02-02,Uganda,Gulu,Uganda,Gulu,Electronics,Smartphones and tablets,3525,741,BuildMart Kenya,NGO,2024-02-02 04:15:51,2024-02-02 04:51:51,2024-02-02 07:02:29,2024-02-02 07:13:11,101,16.0,Completed,1233.75,61.92,0,None
TRP-0011,AST-035,DRV-015,2024-02-06,Uganda,Gulu,Uganda,Gulu,Industrial,Manufacturing machinery,1383,317,Beverage Distributors Kenya,E-commerce,2024-02-06 04:30:33,2024-02-06 05:07:33,2024-02-06 06:46:48,2024-02-06 08:28:18,72,11.6,Completed,138.3,44.44,1.7,Fuel shortage
TRP-0012,AST-089,DRV-007,2024-11-11,Kenya,Mombasa,Kenya,Nakuru,Construction,Cement and building materials,4983,1167,Telecom Solutions Tanzania,E-commerce,2024-11-11 05:00:50,2024-11-11 05:22:50,2024-11-11 15:18:11,2024-11-11 19:04:32,529,100.7,Completed,597.96,308.2,3.8,Vehicle maintenance issue
TRP-0013,AST-017,DRV-089,2024-05-04,Kenya,Nairobi,Ethiopia,Dire Dawa,Electronics,Audio equipment,2284,64,PharmaCare Kenya,Government,2024-05-04 08:30:22,2024-05-04 08:41:22,2024-05-04 18:50:40,2024-05-04 19:36:56,582,102.5,Completed,799.4,325.33,0.8,Security checkpoint
TRP-0014,AST-085,DRV-113,2024-12-20,Tanzania,Dodoma,Tanzania,Dar es Salaam,Textiles,Footwear,2499,1192,Supermart Kenya,Government,2024-12-20 04:00:11,2024-12-20 04:24:11,2024-12-20 12:13:13,2024-12-20 12:13:40,396,69.5,Completed,549.78,231.77,0,None
TRP-0015,AST-027,DRV-004,2024-01-28,Kenya,Mombasa,Kenya,Nakuru,Beverages,Bottled water,884,160,AutoParts Plus Rwanda,NGO,2024-01-28 06:15:11,2024-01-28 06:27:11,2024-01-28 16:47:01,2024-01-28 17:02:31,572,112.9,Completed,159.12,438.01,0,None
TRP-0016,AST-113,DRV-076,2024-03-31,Rwanda,Ruhengeri,Rwanda,Kigali,Agricultural,Grain and cereals,1432,908,HealthCare Solutions Kenya,Wholesale,2024-03-31 05:00:15,2024-03-31 05:05:15,2024-03-31 14:33:04,2024-03-31 14:55:15,533,95.8,Completed,214.8,331.42,0,None
TRP-0017,AST-080,DRV-129,2024-09-05,Rwanda,Butare,Rwanda,Cyangugu,Beverages,Bottled water,910,329,Trade Partners Rwanda,Healthcare,2024-09-05 06:30:42,2024-09-05 06:27:42,2024-09-05 13:23:57,2024-09-05 12:57:32,398,76.5,Completed,163.8,267.2,0,None
TRP-0018,AST-017,DRV-089,2024-03-28,Kenya,Kisumu,Kenya,Eldoret,Pharmaceuticals,Prescription medications,3944,1118,HealthCare Solutions Kenya,Wholesale,2024-03-28 08:45:33,2024-03-28 09:23:33,2024-03-28 15:53:44,2024-03-28 16:07:54,421,78.4,Completed,4732.8,276.87,0,None
TRP-0019,AST-101,DRV-109,2024-10-29,Ethiopia,Addis Ababa,Ethiopia,Addis Ababa,Electronics,Audio equipment,818,921,Beverage Distributors Tanzania,NGO,2024-10-29 07:00:25,2024-10-29 07:13:25,2024-10-29 09:01:35,2024-10-29 08:32:19,100,16.4,Completed,286.3,57.01,0,None
TRP-0020,AST-106,DRV-048,2024-05-31,Uganda,Kampala,Uganda,Jinja,Pharmaceuticals,Diagnostic supplies,4466,99,TechHub Rwanda,Wholesale,2024-05-31 05:45:14,2024-05-31 05:41:14,2024-05-31 18:03:24,2024-05-31 17:33:28,674,113.4,Completed,5359.2,444.55,0,None
TRP-0021,AST-109,DRV-047,2024-09-28,Kenya,Kisumu,Kenya,Eldoret,Telecommunications,Network equipment,5424,215,BuildMart Rwanda,Government,2024-09-28 04:30:27,2024-09-28 05:11:27,2024-09-28 15:22:35,2024-09-28 15:29:44,543,97.9,Completed,2169.6,346.17,0,None
TRP-0022,AST-110,DRV-028,2024-02-04,Uganda,Entebbe,Uganda,Jinja,Agricultural,Coffee beans,6912,479,Retail Solutions Kenya,NGO,2024-02-04 06:30:59,2024-02-04 07:12:59,2024-02-04 14:56:14,2024-02-04 14:29:30,430,77.3,Completed,1036.8,275.44,0,None
TRP-0023,AST-115,DRV-054,2025-02-28,Tanzania,Mbeya,Tanzania,Mbeya,Textiles,Fashion accessories,939,184,Supermart Kenya,Government,2025-02-28 04:00:03,2025-02-28 04:10:03,2025-02-28 06:32:28,2025-02-28 06:09:02,108,19.9,Completed,206.58,71.23,0,None
TRP-0024,AST-045,DRV-099,2024-04-14,Ethiopia,Addis Ababa,Ethiopia,Bahir Dar,Pharmaceuticals,Diagnostic supplies,4532,959,Telecom Solutions Kenya,Healthcare,2024-04-14 05:00:27,2024-04-14 04:46:27,2024-04-14 15:24:51,2024-04-14 15:15:00,498,84.9,Completed,5438.4,346.3,0,None
TRP-0025,AST-056,DRV-028,2024-09-05,Uganda,Mbarara,Ethiopia,Gondar,Textiles,Bedding and linens,3656,582,Supermart Kenya,Government,2024-09-05 06:30:12,2024-09-05 07:04:12,2024-09-06 10:04:28,2024-09-06 13:25:49,1391,265.4,Completed,804.32,829.11,3.4,Vehicle maintenance issue
TRP-0026,AST-049,DRV-103,2024-03-30,Kenya,Nairobi,Kenya,Kisumu,Industrial,Industrial chemicals,906,807,TechHub Kenya,Manufacturing,2024-03-30 08:00:17,2024-03-30 08:27:17,2024-03-30 16:47:38,2024-03-30 18:52:25,410,78.2,Completed,90.6,299.37,2.1,Loading delay at origin
TRP-0027,AST-061,DRV-125,2024-07-26,Rwanda,Ruhengeri,Tanzania,Dar es Salaam,Telecommunications,Cables and accessories,1107,643,BuildMart Rwanda,Government,2024-07-26 08:45:59,2024-07-26 08:51:59,2024-07-26 23:27:21,2024-07-26 23:05:43,701,120.3,Completed,442.8,422.1,0,None
TRP-0028,AST-109,DRV-047,2024-04-22,Kenya,Kisumu,Kenya,Mombasa,Industrial,Industrial chemicals,5762,619,Industrial Suppliers Uganda,Manufacturing,2024-04-22 04:45:14,2024-04-22 05:13:14,2024-04-22 10:59:38,2024-04-22 10:59:04,223,37.8,Completed,576.2,120.51,0,None
TRP-0029,AST-041,DRV-044,2024-12-07,Kenya,Nakuru,Kenya,Kisumu,Electronics,Home appliances,4408,680,Agricultural Traders Uganda,Manufacturing,2024-12-07 04:15:45,2024-12-07 04:46:45,2024-12-07 17:50:21,2024-12-07 17:46:54,774,147.5,Completed,1542.8,580.45,0,None
TRP-0030,AST-051,DRV-098,2025-01-08,Kenya,Eldoret,Kenya,Mombasa,Agricultural,Fresh produce,6323,1125,Supermart Kenya,Government,2025-01-08 08:45:49,2025-01-08 08:35:49,2025-01-08 14:55:21,2025-01-08 14:50:13,267,45.8,Completed,948.45,185.1,0,None
TRP-0031,AST-075,DRV-101,2024-03-11,Kenya,Nakuru,Kenya,Nakuru,Electronics,Home appliances,3399,1061,Retail Solutions Ethiopia,Wholesale,2024-03-11 07:15:17,2024-03-11 07:01:17,2024-03-11 10:26:33,2024-03-11 11:46:37,144,25.2,Completed,1189.65,104.13,1.3,Security checkpoint
TRP-0032,AST-115,DRV-054,2024-08-01,Tanzania,Mwanza,Tanzania,Arusha,Beverages,Soft drinks,1326,790,Supermart Kenya,Healthcare,2024-08-01 08:45:50,2024-08-01 09:25:50,2024-08-01 21:57:03,2024-08-01 22:08:42,692,133.6,Completed,238.68,468.09,0,None
TRP-0033,AST-007,DRV-053,2024-05-12,Tanzania,Mwanza,Tanzania,Mwanza,Construction,Steel and metal products,3865,789,BuildMart Uganda,Healthcare,2024-05-12 06:00:44,2024-05-12 06:03:44,2024-05-12 09:17:30,2024-05-12 09:18:20,131,21.3,Completed,463.8,68.51,0,None
TRP-0034,AST-104,DRV-055,2025-01-20,Tanzania,Arusha,Rwanda,Gisenyi,Construction,Cement and building materials,6246,344,Industrial Suppliers Tanzania,E-commerce,2025-01-20 08:30:06,2025-01-20 08:38:06,2025-01-20 19:47:13,2025-01-20 19:27:00,680,127.7,Completed,749.52,489.56,0,None
