incident_id,trip_id,asset_id,driver_id,incident_date,incident_time,incident_country,incident_location,incident_type,severity,description,injuries,damage_cost_usd,downtime_hours,insurance_claim,claim_amount_usd,resolution_status,resolution_date,preventable
INC-0001,TRP-0211,AST-027,DRV-004,2024-12-25,06:33:52,Kenya,Nairobi - Kisumu Route,Traffic Accident,High,Traffic Accident occurred during transit,0,1873.83,9.8,Yes,1748.42,Resolved,2024-12-26,No
INC-0002,TRP-1379,AST-075,DRV-101,2024-08-27,01:56:45,Kenya,Nakuru - Nairobi Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,5.1,No,0,Resolved,2024-09-07,No
INC-0003,TRP-2258,AST-021,DRV-077,2024-09-11,12:32:30,Rwanda,Ruhengeri - Cyangugu Route,Traffic Accident,Medium,Traffic Accident occurred during transit,0,740.3,7.6,Yes,672.67,Resolved,2024-09-25,No
INC-0004,TRP-2925,AST-031,DRV-013,2024-05-09,19:32:08,Rwanda,Gisenyi - Kigali Route,Driver Illness,Medium,Driver Illness occurred during transit,0,221.21,16.5,No,0,Resolved,2024-05-21,No
INC-0005,TRP-1180,AST-047,DRV-102,2024-10-14,20:54:11,Rwanda,Butare - Butare Route,Driver Illness,Low,Driver Illness occurred during transit,0,108.67,34.1,No,0,Resolved,2024-10-25,No
INC-0006,TRP-1206,AST-066,DRV-021,2024-02-11,06:26:49,Tanzania,Dodoma - Dar es Salaam Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,606.51,0.0,Yes,535.19,Resolved,2024-02-13,Yes
INC-0007,TRP-1422,AST-046,DRV-117,2024-01-15,05:41:05,Kenya,Nakuru - Eldoret Route,Theft Attempt,High,Theft Attempt occurred during transit,1,1254.66,1.3,Yes,1135.39,Resolved,2024-01-29,No
INC-0008,TRP-0423,AST-058,DRV-077,2024-10-30,08:10:39,Rwanda,Gisenyi - Butare Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,872.45,0.0,Yes,777.34,Resolved,2024-11-02,No
INC-0009,TRP-2963,AST-038,DRV-119,2024-08-22,03:45:53,Kenya,Kisumu - Nairobi Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,4.2,No,0,Resolved,2024-08-29,No
INC-0010,TRP-0551,AST-026,DRV-040,2025-01-11,10:29:32,Tanzania,Dodoma - Jinja Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,857.04,0.0,Yes,728.55,Resolved,2025-01-18,No
