title,author,summary,themes,mood_tags
Project Hail Mary,Andy Weir,"Ryland Grace wakes up alone on a spaceship with amnesia. As his memory returns, he realizes he is humanity's last hope on a desperate mission to save Earth from a cosmic disaster. Stranded light-years from home with two dead crewmates, he must use his scientific knowledge to survive. The story becomes a brilliant and heartwarming tale of problem-solving, friendship with an unexpected alien companion, and the power of collaboration against impossible odds. It's funny, tense, and deeply optimistic.","Friendship, Sacrifice, Science, Exploration, Survival","suspenseful, funny, hopeful, heartwarming, thrilling, optimistic, clever, page-turner, nerdy"
Circe,Madeline Miller,"An intoxicating feminist retelling of the story of Circe, the nymph witch from Homer's Odyssey. Born without the power of her divine parents, Circe is banished to the remote island of Aiaia. There, she hones her craft of witchcraft, tames wild beasts, and crosses paths with famous mythological figures like the Minotaur, Daedalus, and Odysseus. The novel is a stunning exploration of loneliness, the quest for independence, and the quiet power of finding one's own voice in a world of gods and monsters.","Mythology, Feminism, Empowerment, Loneliness, Identity","lyrical, empowering, epic, emotional, enchanting, savage, atmospheric, character-driven, bittersweet"
Klara and the Sun,Kazuo Ishiguro,"Klara is an 'Artificial Friend' designed to prevent loneliness in children. She waits patiently in a store for a child to choose her, observing the world outside and worshipping the Sun, which she believes gives life. When she is finally purchased by a sickly girl named Josie, Klara dedicates herself entirely to her new charge. Told from Klara's unique, limited perspective, the novel is a quietly devastating exploration of love, sacrifice, what it means to be human, and whether the heart can ever be truly replicated.","Artificial Intelligence, Love, Humanity, Mortality, Sacrifice","poignant, melancholic, gentle, thought-provoking, sad, hopeful, philosophical, slow-burn, tender"
Legends & Lattes,Travis Baldree,"After a lifetime of bounties and bloodshed, Viv, a battle-hardened orc, decides to hang up her sword for good. Her new dream? To open the first coffee shop in the city of Thune. The novel follows her as she navigates the challenges of small business ownership, renovating a dilapidated livery, and befriending a motley crew of townsfolk, all while a shadow from her past threatens her peaceful new life. It's a cozy, low-stakes fantasy about found family, second chances, and the simple pleasure of a good cup of coffee.","Found Family, Redemption, Community, New Beginnings, Fantasy","cozy, heartwarming, wholesome, charming, low-stakes, comforting, delightful, fun, gentle"
The Silent Patient,Alex Michaelides,"Alicia Berenson's life seems perfect. She is a famous painter married to a fashionable photographer. Then, one evening, she shoots her husband five times in the face and never speaks another word. Her silence turns a tragic crime into a public mystery. Theo Faber, a criminal psychotherapist obsessed with understanding her, takes a job at the secure forensic unit where she resides. He is determined to get her to talk and unravel the mystery of that fateful night, leading to a shocking, mind-bending conclusion.","Psychological Thriller, Trauma, Deception, Truth, Obsession","suspenseful, twisty, dark, gripping, unsettling, chilling, fast-paced, addictive, mysterious"
The House in the Cerulean Sea,T.J. Klune,"Linus Baker is a by-the-book caseworker for the Department in Charge of Magical Youth. He lives a solitary, uneventful life until he is summoned by Extremely Upper Management and given a highly classified assignment. He must travel to a remote island orphanage housing six dangerously magical children—including a gnome, a sprite, and the Antichrist's son. There, he meets their enigmatic and charming caretaker, Arthur Parnassus. As Linus begins to understand the children and their world, he discovers that the family you choose is more important than the one you're given.","Found Family, Acceptance, Prejudice, Fantasy, Conformity","heartwarming, charming, whimsical, hopeful, comforting, funny, tender, cozy, uplifting"
Gone Girl,Gillian Flynn,"On the morning of their fifth wedding anniversary, Nick Dunne's wife, Amy, goes missing. Their home shows signs of a struggle, and Nick becomes the prime suspect. Told in alternating chapters from Nick's perspective in the present and Amy's diary from the past, the narrative skillfully manipulates the reader's perception. As the investigation unfolds, the perfect facade of their marriage crumbles to reveal a dark, twisted web of manipulation, lies, and revenge. It's a masterclass in suspense and unreliable narration.","Marriage, Deception, Media, Identity, Revenge","dark, twisty, suspenseful, cynical, disturbing, addictive, clever, shocking, tense"
Anxious People,Fredrik Backman,"A failed bank robber, who is also a parent trying to pay the rent, flees the scene and accidentally takes a group of strangers hostage during an apartment viewing in Sweden. The hostages are a quirky mix of characters: a wealthy banker, a pregnant couple, an elderly woman, and a man who specializes in buying and selling. As the police negotiate and the hours tick by, the story becomes less about a crime and more about the anxieties, regrets, and hidden connections that bind these ordinary people together. It's a funny, heartbreaking, and profoundly compassionate look at the idiocy and beauty of humanity.","Humanity, Kindness, Regret, Connection, Mental Health","witty, poignant, heartwarming, funny, sad, compassionate, philosophical, quirky, character-driven"
Dune,Frank Herbert,"Set on the desert planet Arrakis, the only source of the universe's most valuable substance, the spice melange. The story follows Paul Atreides, a young nobleman whose family accepts stewardship of this dangerous world, only to be betrayed by their enemies. Forced into the desert, Paul must unite with the native Fremen people and fulfill his destiny, navigating political intrigue, religious prophecy, and ecological warfare. It's an epic, sprawling masterpiece of world-building, exploring themes of power, religion, and ecology.","Politics, Religion, Ecology, Power, Destiny","epic, immersive, grand, philosophical, intense, gritty, complex, cerebral, awe-inspiring"
Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Eleanor Oliphant struggles with social skills and leads a life of simple routines: the same lunch, the same phone calls with her Mummy on Wednesdays, and the same solitary weekends. She is completely fine, or so she tells herself. Her carefully constructed, isolated world is disrupted when she and the new IT guy, Raymond, help an elderly man who has fallen on the street. This small act of kindness is the first step toward a new life, forcing Eleanor to confront the dark and traumatic truth of her past.","Loneliness, Trauma, Friendship, Mental Health, Healing","poignant, darkly funny, heartbreaking, hopeful, character-driven, emotional, quirky, uplifting"
