Activity,Primary Items,Intensity,Safety (0-5),Age Group,Vibe,Duration,Activity Description,Steps to Implement
Tape Measure Treasure Hunt,"Tape Measure, Paper",8,4,4-8,"Find, Measure, Adventure",30,Measure the distance using a tape measure and find the shortest path.,"['Measure the distance using a tape measure.', 'Find the shortest path.', 'Record the distance and time taken.']"
Dish Soap Painting,"Dish Soap, Paper",6,4,3-8,"Color, Create, Fun",45,Use dish soap to create a colorful painting.,"['Mix the dish soap with water.', 'Apply the mixture to the paper.', 'Let it dry and paint with watercolors.']"
Laundry Basket Obstacle Course,"Laundry Basket, Chairs, Cushions",9,3,4-8,"Crawl, Jump, Navigate",60,Create an obstacle course using a laundry basket and navigate through it.,"['Place the laundry basket at the starting point.', 'Create obstacles using chairs and cushions.', 'Crawl, jump, and navigate through the course.']"
Pencil Pile Challenge,"Pencils, Paper",4,5,1-6,"Color, Count, Focus",30,Sort and count pencils using a pencil pile.,"['Sort the pencils by color.', 'Count the number of pencils in each color group.', 'Record the results.']"
Rug Rodeo,"Rug, Stuffed Animals",8,3,3-8,"Ride, Pull, Teamwork",60,Ride a stuffed animal on a rug and pull it back.,"['Choose a stuffed animal.', 'Ride the animal on the rug.', 'Pull the animal back and repeat.']"
Sink Sorter,"Plastic Sink, Small Toys",3,5,1-4,"Sort, Color, Clean",30,Sort small toys in a plastic sink.,"['Fill the sink with toys.', 'Sort the toys by color.', 'Clean the sink and toys.']"
Bubble Wrap Building,"Bubble Wrap, Tape",8,3,3-8,"Build, Create, Pop",45,Build a structure using bubble wrap and tape.,"['Cut the bubble wrap into shapes.', 'Tape the shapes together.', 'Pop the bubbles and rebuild.']"
Folding Frenzy,"Folding Paper, Scissors",4,4,4-8,"Frenzy, Create, Focus",60,Fold and cut paper to create shapes.,"['Fold the paper into shapes.', 'Cut out the shapes.', 'Create multiple shapes and repeat.']"
Tablecloth Toss,"Tablecloth, Stuffed Animals",8,3,3-8,"Toss, Catch, Teamwork",45,Toss a stuffed animal on a tablecloth and catch it.,"['Choose a stuffed animal.', 'Toss the animal on the tablecloth.', 'Catch the animal and repeat.']"
Yard Stick Yardage,"Yard Stick, Paper",6,4,4-8,"Navigate, Create, Challenge",60,Measure the distance using a yard stick and create a map.,"['Measure the distance using a yard stick.', 'Create a map of the area.', 'Record the distance and map.']"
Cardboard Box Castle,"Cardboard Box, Markers",8,4,4-8,"Build, Create, Imagination",60,Build a castle using a cardboard box and markers.,"['Cut out the box into castle shapes.', 'Decorate the castle with markers.', 'Create a throne and other castle features.']"
Sticky Note Scavenger Hunt,"Sticky Notes, Paper",4,5,1-6,"Sort, Color, Focus",45,Sort sticky notes by color and find them in the room.,"['Sort the sticky notes by color.', 'Find the sticky notes in the room.', 'Record the results.']"
